index,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
79,-1.809763024,-0.179842692,-0.761337156,-0.427681264,0.015340384,0.40408227,-1.292195108,0.248555872,-1.320905023,0.406546176
80,1.960026887,1.00565139,0.246707674,0.887953119,-0.893228002,1.912217652,-0.372804105,-0.446973551,-0.231923603,-0.038751372
81,0.921890382,1.472417703,0.957071872,-1.816085631,0.03237779,1.06288641,-0.520698621,0.219255455,0.224547728,0.026653067
82,1.617053925,-0.866656214,0.230198358,-1.591415568,-0.526298591,-0.711508734,0.381181405,0.357008837,0.522494549,0.151697533
83,1.138567403,-1.96286166,0.489055932,-0.086412146,0.473622666,-0.287090983,0.399114001,-0.087759842,0.091025984,0.473311967
84,-1.860061035,0.613399686,0.001730591,-1.224732232,-0.741100902,-2.243040843,0.835496865,0.2678538,-0.394250351,0.520828635
85,1.521693587,0.970065387,0.712397074,1.521020253,-0.473944698,0.965938483,0.373435671,-0.765203788,-0.103362399,0.38397071
86,-0.585073401,1.453537611,-1.060702648,-0.567335415,-0.098704965,-0.350898186,-1.163478638,-0.080980265,0.371824752,0.076193945
87,1.390552712,-1.869565217,-0.257143547,-1.174858183,-0.290774854,1.368918391,-0.964956729,0.099221506,-0.123466587,0.057568755
88,-1.513691735,1.855016483,0.82890939,-0.202404537,0.535932176,1.310984476,-1.862065013,-1.16659368,-0.615265051,-0.72014359
89,-0.487436912,0.94006253,-0.784753742,1.538099166,1.395748378,-0.790904655,-0.520069764,0.006452315,-0.147153592,0.415173147
90,-1.576751564,-1.567153129,0.370589324,0.4028055,0.445220788,-0.490278683,0.240398177,0.201492534,0.144232941,-0.020156832
91,-1.297006643,-1.605167947,-1.011000861,0.443591077,0.341177801,-0.479596467,-0.193056954,-0.166831982,0.132990774,0.489270819
92,-0.163373325,1.394068528,-0.980483,-0.824846766,-0.019176706,-0.197818973,-1.163540077,0.057598109,0.356273485,-0.397127393
93,-0.238021528,1.495788473,-1.241702101,-1.100250121,-0.16484174,0.308974348,-1.381543822,0.042587482,0.319203679,-0.389778479
94,-0.098397574,0.896425371,-0.527139904,1.516623287,1.159999201,-0.677709908,-0.518680197,0.00105813,-0.096649657,-0.057938193
95,-0.172755507,1.502569751,-1.333970976,-1.071734918,-0.249420615,0.352319988,-1.449576821,0.142887765,0.306189807,-0.373999876
96,-0.706207669,-1.699801839,-0.98303041,0.347132,0.421274798,-0.529509372,-0.19314399,0.191545974,0.11063851,0.040688644
97,-4.419123442,-1.154304211,3.215260383,-0.196280733,0.619316732,0.091613338,0.348299333,-0.704449141,0.303863934,0.25346453
98,-0.82343746,-1.706215907,-0.76566887,0.296065867,0.597801855,-0.678410049,-0.160302038,0.004769808,0.172960862,0.014924699
99,-0.5401719,-1.28372984,-1.56154441,0.296626365,-1.775163064,1.818730102,-0.409100267,-0.109129245,0.045484569,-0.385746259
100,-1.740482778,-1.48664533,0.366675057,-0.785509958,0.166668519,0.737466844,-0.887628327,-0.293565083,0.14059983,-0.526736907
101,1.671290725,-1.742613979,0.496330525,0.802664526,-1.112423368,0.600421708,1.372559788,-0.140883142,0.13652655,0.03089977
102,-1.152006526,-1.513869818,-1.51427014,-0.688120952,-0.167023369,0.960911057,-1.483284212,-0.155013502,0.002005398,0.046407569
103,-0.111015537,-1.3810262,-1.668344153,0.782747367,-1.592551341,1.235136669,0.057751718,0.428525978,-0.003374124,-0.344485324
104,-0.67902708,0.690500409,-0.871645153,-0.242345583,-2.32268137,-1.623453991,1.636895089,-0.228392717,-0.260947019,0.089805431
105,1.799728767,1.090595399,0.84728909,-0.723752826,0.288135496,-0.598513822,0.253337619,-0.226326338,0.431812555,0.012836223
106,1.424030492,1.403816489,0.519435328,0.29649241,-1.289679062,0.185621697,0.894212356,-0.521231718,0.433224815,0.516595579
107,1.132579974,1.369051017,-0.315298119,-1.903531213,-0.15897688,1.004106634,-1.489647548,-0.228549068,0.23158168,0.54219047
